file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,43,css,f1aa6104,Shourya-Kulkarni,2026-04-08,21:07:33,-07:00,2026-04-08T21:07:33-07:00,0,0
style.css,44,css,f1aa6104,Shourya-Kulkarni,2026-04-08,21:07:33,-07:00,2026-04-08T21:07:33-07:00,0,13
style.css,45,css,f1aa6104,Shourya-Kulkarni,2026-04-08,21:07:33,-07:00,2026-04-08T21:07:33-07:00,1,43
style.css,46,css,f1aa6104,Shourya-Kulkarni,2026-04-08,21:07:33,-07:00,2026-04-08T21:07:33-07:00,1,20
style.css,47,css,f1aa6104,Shourya-Kulkarni,2026-04-08,21:07:33,-07:00,2026-04-08T21:07:33-07:00,0,0
style.css,48,css,f1aa6104,Shourya-Kulkarni,2026-04-08,21:07:33,-07:00,2026-04-08T21:07:33-07:00,0,0
style.css,49,css,f1aa6104,Shourya-Kulkarni,2026-04-08,21:07:33,-07:00,2026-04-08T21:07:33-07:00,0,11
style.css,50,css,f1aa6104,Shourya-Kulkarni,2026-04-08,21:07:33,-07:00,2026-04-08T21:07:33-07:00,1,45
style.css,51,css,f1aa6104,Shourya-Kulkarni,2026-04-08,21:07:33,-07:00,2026-04-08T21:07:33-07:00,1,20
style.css,52,css,eabafc68,Shourya-Kulkarni,2026-04-08,21:37:36,-07:00,2026-04-08T21:37:36-07:00,1,57
style.css,53,css,eabafc68,Shourya-Kulkarni,2026-04-08,21:37:36,-07:00,2026-04-08T21:37:36-07:00,0,0
style.css,54,css,eabafc68,Shourya-Kulkarni,2026-04-08,21:37:36,-07:00,2026-04-08T21:37:36-07:00,0,0
style.css,55,css,eabafc68,Shourya-Kulkarni,2026-04-08,21:37:36,-07:00,2026-04-08T21:37:36-07:00,0,23
style.css,56,css,eabafc68,Shourya-Kulkarni,2026-04-08,21:37:36,-07:00,2026-04-08T21:37:36-07:00,1,12
style.css,57,css,eabafc68,Shourya-Kulkarni,2026-04-08,21:37:36,-07:00,2026-04-08T21:37:36-07:00,0,0
style.css,58,css,eabafc68,Shourya-Kulkarni,2026-04-08,21:37:36,-07:00,2026-04-08T21:37:36-07:00,0,0
style.css,59,css,cb76562b,Shourya-Kulkarni,2026-04-08,21:47:58,-07:00,2026-04-08T21:47:58-07:00,0,4
style.css,60,css,cb76562b,Shourya-Kulkarni,2026-04-08,21:47:58,-07:00,2026-04-08T21:47:58-07:00,1,12
style.css,61,css,cb76562b,Shourya-Kulkarni,2026-04-08,21:47:58,-07:00,2026-04-08T21:47:58-07:00,1,30
style.css,62,css,cb76562b,Shourya-Kulkarni,2026-04-08,21:47:58,-07:00,2026-04-08T21:47:58-07:00,1,7
style.css,63,css,eabafc68,Shourya-Kulkarni,2026-04-08,21:37:36,-07:00,2026-04-08T21:37:36-07:00,0,0
style.css,64,css,eabafc68,Shourya-Kulkarni,2026-04-08,21:37:36,-07:00,2026-04-08T21:37:36-07:00,0,0
style.css,65,css,cb76562b,Shourya-Kulkarni,2026-04-08,21:47:58,-07:00,2026-04-08T21:47:58-07:00,0,10
style.css,66,css,cb76562b,Shourya-Kulkarni,2026-04-08,21:47:58,-07:00,2026-04-08T21:47:58-07:00,1,12
style.css,67,css,cb76562b,Shourya-Kulkarni,2026-04-08,21:47:58,-07:00,2026-04-08T21:47:58-07:00,1,29
style.css,68,css,cb76562b,Shourya-Kulkarni,2026-04-08,21:47:58,-07:00,2026-04-08T21:47:58-07:00,1,18
style.css,69,css,cb76562b,Shourya-Kulkarni,2026-04-08,21:47:58,-07:00,2026-04-08T21:47:58-07:00,0,0
style.css,70,css,cb76562b,Shourya-Kulkarni,2026-04-08,21:47:58,-07:00,2026-04-08T21:47:58-07:00,0,0
style.css,71,css,cb76562b,Shourya-Kulkarni,2026-04-08,21:47:58,-07:00,2026-04-08T21:47:58-07:00,0,11
style.css,72,css,cb76562b,Shourya-Kulkarni,2026-04-08,21:47:58,-07:00,2026-04-08T21:47:58-07:00,1,18
style.css,73,css,cb76562b,Shourya-Kulkarni,2026-04-08,21:47:58,-07:00,2026-04-08T21:47:58-07:00,0,0
style.css,74,css,cb76562b,Shourya-Kulkarni,2026-04-08,21:47:58,-07:00,2026-04-08T21:47:58-07:00,0,0
style.css,75,css,cb76562b,Shourya-Kulkarni,2026-04-08,21:47:58,-07:00,2026-04-08T21:47:58-07:00,0,9
style.css,76,css,cb76562b,Shourya-Kulkarni,2026-04-08,21:47:58,-07:00,2026-04-08T21:47:58-07:00,1,12
style.css,77,css,cb76562b,Shourya-Kulkarni,2026-04-08,21:47:58,-07:00,2026-04-08T21:47:58-07:00,1,58
style.css,78,css,d741a30c,Shourya-Kulkarni,2026-04-08,21:59:01,-07:00,2026-04-08T21:59:01-07:00,1,7
style.css,79,css,d741a30c,Shourya-Kulkarni,2026-04-08,21:59:01,-07:00,2026-04-08T21:59:01-07:00,0,0
style.css,80,css,d741a30c,Shourya-Kulkarni,2026-04-08,21:59:01,-07:00,2026-04-08T21:59:01-07:00,0,0
style.css,81,css,d741a30c,Shourya-Kulkarni,2026-04-08,21:59:01,-07:00,2026-04-08T21:59:01-07:00,0,17
style.css,82,css,d741a30c,Shourya-Kulkarni,2026-04-08,21:59:01,-07:00,2026-04-08T21:59:01-07:00,1,12
style.css,83,css,d741a30c,Shourya-Kulkarni,2026-04-08,21:59:01,-07:00,2026-04-08T21:59:01-07:00,1,26
style.css,84,css,d741a30c,Shourya-Kulkarni,2026-04-08,21:59:01,-07:00,2026-04-08T21:59:01-07:00,1,15
style.css,85,css,6612a253,Shourya-Kulkarni,2026-04-08,22:06:15,-07:00,2026-04-08T22:06:15-07:00,0,0
style.css,86,css,6612a253,Shourya-Kulkarni,2026-04-08,22:06:15,-07:00,2026-04-08T22:06:15-07:00,0,0
style.css,87,css,6612a253,Shourya-Kulkarni,2026-04-08,22:06:15,-07:00,2026-04-08T22:06:15-07:00,0,22
style.css,88,css,6612a253,Shourya-Kulkarni,2026-04-08,22:06:15,-07:00,2026-04-08T22:06:15-07:00,1,15
style.css,89,css,6612a253,Shourya-Kulkarni,2026-04-08,22:06:15,-07:00,2026-04-08T22:06:15-07:00,1,17
style.css,90,css,6612a253,Shourya-Kulkarni,2026-04-08,22:06:15,-07:00,2026-04-08T22:06:15-07:00,0,0
style.css,91,css,6612a253,Shourya-Kulkarni,2026-04-08,22:06:15,-07:00,2026-04-08T22:06:15-07:00,0,0
style.css,92,css,6612a253,Shourya-Kulkarni,2026-04-08,22:06:15,-07:00,2026-04-08T22:06:15-07:00,0,2
style.css,93,css,6612a253,Shourya-Kulkarni,2026-04-08,22:06:15,-07:00,2026-04-08T22:06:15-07:00,1,14
style.css,94,css,497f8180,Shourya-Kulkarni,2026-04-08,22:10:30,-07:00,2026-04-08T22:10:30-07:00,0,0
style.css,95,css,497f8180,Shourya-Kulkarni,2026-04-08,22:10:30,-07:00,2026-04-08T22:10:30-07:00,0,0
style.css,96,css,979d60d8,Shourya-Kulkarni,2026-04-08,22:20:55,-07:00,2026-04-08T22:20:55-07:00,0,7
style.css,97,css,979d60d8,Shourya-Kulkarni,2026-04-08,22:20:55,-07:00,2026-04-08T22:20:55-07:00,1,14
style.css,98,css,497f8180,Shourya-Kulkarni,2026-04-08,22:10:30,-07:00,2026-04-08T22:10:30-07:00,0,0
style.css,99,css,497f8180,Shourya-Kulkarni,2026-04-08,22:10:30,-07:00,2026-04-08T22:10:30-07:00,0,0
style.css,100,css,979d60d8,Shourya-Kulkarni,2026-04-08,22:20:55,-07:00,2026-04-08T22:20:55-07:00,0,10
style.css,101,css,979d60d8,Shourya-Kulkarni,2026-04-08,22:20:55,-07:00,2026-04-08T22:20:55-07:00,1,14
style.css,102,css,979d60d8,Shourya-Kulkarni,2026-04-08,22:20:55,-07:00,2026-04-08T22:20:55-07:00,1,25
style.css,103,css,497f8180,Shourya-Kulkarni,2026-04-08,22:10:30,-07:00,2026-04-08T22:10:30-07:00,0,0
style.css,104,css,497f8180,Shourya-Kulkarni,2026-04-08,22:10:30,-07:00,2026-04-08T22:10:30-07:00,0,0
style.css,105,css,497f8180,Shourya-Kulkarni,2026-04-08,22:10:30,-07:00,2026-04-08T22:10:30-07:00,0,10
style.css,106,css,979d60d8,Shourya-Kulkarni,2026-04-08,22:20:55,-07:00,2026-04-08T22:20:55-07:00,1,43
style.css,107,css,979d60d8,Shourya-Kulkarni,2026-04-08,22:20:55,-07:00,2026-04-08T22:20:55-07:00,1,20
style.css,108,css,979d60d8,Shourya-Kulkarni,2026-04-08,22:20:55,-07:00,2026-04-08T22:20:55-07:00,0,0
